"Response ID","Survey ID","Survey Title","Response Type","Respondent Email","Submitted Date","Submitted Time","Response Data","Call SID","Metadata"
"wgyIsvQr1P062Cayj2Imy","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:04:37 PM","Question 1: ok ","",""
"Xiu3bRDZb-acAxHoCDbYT","survey-market-research","Market Research Survey","voice-extracted","lisa.brown@agency.net","6/30/2025","5:32:00 AM","Which brands do you prefer?: Local brands | How often do you shop online?: Monthly | What influences your buying decisions?: Recommendations | Price sensitivity rating: 9","CAVLtj4B5ym0i2VAtmQMxcoif9FW6EzrO5","{""extractedFrom"":""CAVLtj4B5ym0i2VAtmQMxcoif9FW6EzrO5.json"",""questionCount"":4,""extractedAnswers"":4,""duration"":58}"
"gwjjhBeejbB6Nbt5PCy9y","W1DtnOc4sV","Employee's manager survey","voice-vapi","Anonymous","6/29/2025","11:03:46 PM","How would you rate your overall satisfaction with your manager?: 8 out of 10 | How effectively does your manager communicate with you?: Pretty well | Does your manager provide you with adequate support and resources?: No response given | How would you rate your manager's ability to provide constructive feedback?: 0 out of 10 | What are your manager's greatest strengths?: Equipment | What areas could your manager improve in?: No response given | Select all that apply: Which of the following best describes your manager's leadership style?: No response given | How does your manager resolve conflicts: No response given","","{""callId"":""530d278f-e39e-4fb7-9905-3092eefc464b"",""originalAnswerCount"":8,""phoneNumber"":""+12269757684"",""transcript"":""Assistant: Hello. Is Bob calling to conduct a brief survey about employee's manager survey. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: Yes.\nAssistant: Great. Let's start with the first question. How would you rate your overall satisfaction? With your manager?\nUser: 8 out of 10.\nAssistant: Thanks for sharing your rating. How effectively does your manager communicate with you?\nUser: Pretty well.\nAssistant: Good to hear that communication is working well. Um, does your manager provide you with adequate support? And resources? You can answer yes. Always. Yes, most of the time.\nUser: Who are you, SCN? Why are you asking these questions?\nAssistant: I'm Bob here to gather feedback to help improve our managers' support and communication with their teams. Your honest answers really help us create a better work environment. So does your manager provide you with adequate support? And resources? You can answer yes. Always. Yes, most of the time, sometimes rarely, or no, never.\nUser: Can I choose not to answer this question?\nAssistant: Of course, you can skip any question you prefer not to answer. Um, if you're comfortable, would you like to share about the support and resources your manager provides?\nUser: I would like to skip this question.\nAssistant: No problem at all. Uh, moving on, how would you rate your manager's ability, uh, to provide constructive feedback?\nUser: 0 out of 10?\nAssistant: Uh, thank you for your honesty. Um, what would you say are are your manager's greatest strengths? Thank you for your honesty. Um, what would you say are your manager's greatest strengths?\nUser: So\nAssistant: Take your time. No rush. What would you say are your managers' greatest strengths?\nUser: Equipment.\nAssistant: Thanks for sharing that.\nUser: Are the service anonymous?\nAssistant: Yes. Your responses are completely anonymous and confidential. Now what areas could your manager improve in?"",""provider"":""vapi"",""validatedAnswerCount"":8,""hasStructuredAnswers"":true,""timestamp"":""2025-06-30T03:03:46.585Z""}"
"tv7eKMeBZliJPu2sBAwc0","W1DtnOc4sV","Employee's manager survey","voice-vapi","Anonymous","6/29/2025","11:01:14 PM","How would you rate your overall satisfaction with your manager?: No response given | How effectively does your manager communicate with you?: No response given | Does your manager provide you with adequate support and resources?: No response given | How would you rate your manager's ability to provide constructive feedback?: No response given | What are your manager's greatest strengths?: No response given | What areas could your manager improve in?: No response given | Select all that apply: Which of the following best describes your manager's leadership style?: No response given | How does your manager resolve conflicts: No response given","","{""callId"":""53b86290-f090-4ce2-aeb9-e876f13948fc"",""originalAnswerCount"":8,""phoneNumber"":""+12269757684"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":8,""hasStructuredAnswers"":true,""timestamp"":""2025-06-30T03:01:14.078Z""}"
"nFHPEVMXnDBe9AOkdCVpm","W1DtnOc4sV","Employee's manager survey","voice-vapi","Anonymous","6/29/2025","10:59:02 PM","How would you rate your overall satisfaction with your manager?: 6 | How effectively does your manager communicate with you?: 8 | Does your manager provide you with adequate support and resources?: No response given | How would you rate your manager's ability to provide constructive feedback?: No response given | What are your manager's greatest strengths?: No response given | What areas could your manager improve in?: No response given | Select all that apply: Which of the following best describes your manager's leadership style?: No response given | How does your manager resolve conflicts: No response given","","{""callId"":""287210d3-9c5c-40a9-9d04-03dcf8b6f71e"",""originalAnswerCount"":8,""phoneNumber"":""+12269757684"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about employee's manager survey. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: No. I'm not. I'm pretty busy right now.\nAssistant: I understand you're busy. If you have some time later and would like to participate, free to let me know. Have a great day.\nUser: No. Don't go.\nAssistant: I'm glad you decided to continue. Let's get started. How would you rate your overall satisfaction? With your manager?\nUser: Out of what?\nAssistant: You can rate your satisfaction on a scale from 1 to 10. Where 1 means very dissatisfied and 10 means very satisfied. How would you rate overall satisfaction with your manager?\nUser: I would say it's about 6\nAssistant: For sharing that. How effectively, uh, does your manager communicate with you?\nUser: How many of these questions are gonna be there? Because I'm a little busy.\nAssistant: There are 8 questions in total. And, um, I'll keep it as brief as possible. Your responses are very helpful. Um, how effectively does your manager communicate with you?\nUser: Uh, you still want a 1 to 10 answer?\nAssistant: Yes, please. On a scale from 1 to 10, how effectively does your manager communicate with you?\nUser: Uh, n 8.\nAssistant: Thanks for letting me know. Your manager provide you with adequate support and resources? Your options are yes, always, yes, most of the time, sometimes, rarely, or no, never."",""provider"":""vapi"",""validatedAnswerCount"":8,""hasStructuredAnswers"":true,""timestamp"":""2025-06-30T02:59:02.752Z""}"
"-MNw36Tci0dHFWoKU85Ua","W1DtnOc4sV","Employee's manager survey","voice-vapi","Anonymous","6/29/2025","10:57:32 PM","How would you rate your overall satisfaction with your manager?: No response given | How effectively does your manager communicate with you?: No response given | Does your manager provide you with adequate support and resources?: No response given | How would you rate your manager's ability to provide constructive feedback?: No response given | What are your manager's greatest strengths?: No response given | What areas could your manager improve in?: No response given | Select all that apply: Which of the following best describes your manager's leadership style?: No response given | How does your manager resolve conflicts: No response given","","{""callId"":""53b86290-f090-4ce2-aeb9-e876f13948fc"",""originalAnswerCount"":8,""phoneNumber"":""+12269757684"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":8,""hasStructuredAnswers"":true,""timestamp"":""2025-06-30T02:57:32.524Z""}"
"uI24h0IqAgWbntzkwIHSF","survey-product-feedback","Product Feedback Survey","text","lisa.brown@agency.net","6/29/2025","10:39:00 PM","How easy was it to use our product?: Excellent user experience | What features do you use most?: All features are useful | What features are missing?: Nothing missing | Overall rating: Perfect for our use case","",""
"qjJ3ybFVjiKojV96RuuDM","survey-market-research","Market Research Survey","text","sarah.smith@company.com","6/29/2025","4:53:00 AM","Which brands do you prefer?: Apple, Microsoft, Google | How often do you shop online?: Several times per week | What influences your buying decisions?: Product reviews and recommendations | Price sensitivity rating: Moderately price sensitive","",""
"9IBKEW4C1NeoCjvDkgFqD","survey-employee-engagement","Employee Engagement Survey","anonymous","Anonymous","6/29/2025","1:43:00 AM","How engaged do you feel at work?: Very engaged and | What motivates you most?: Challenging work and | How is your work-life balance?: Excellent work-life balance | Suggestions for improvement?: More team building","",""
"2jrXUw-UqIQZMrZYtuTEb","BVmSc8gLNB","Employee Survey ","web","Anonymous","6/28/2025","10:59:31 AM","Does your manager listen to you when you give suggestions: Yes Always","",""
"aEiLBkeOJMNy7VKV_LF5F","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","7:18:08 PM","Question 1: Okay","","{""callId"":""6a710587-c008-4b80-bfcb-b8420dc04cb8"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about nothing. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: Yes.\nAssistant: Great. To start, may I ask you, okay, Kay?\nUser: Okay.\nAssistant: For sharing that. Thank you for your response. That's the end of the survey. Have a great day. Goodbye."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T23:18:08.591Z""}"
"5HPKud1eDf7pPaO97uu0o","qhVb7l0z3M","Unknown Survey","web","Anonymous","6/26/2025","7:15:14 PM","Question 1: khj","",""
"AQPdjJCdaW0U4C1upORWo","qhVb7l0z3M","Unknown Survey","web","Anonymous","6/26/2025","7:08:23 PM","Question 1: kjhjkhkjh","",""
"bkHYp1YniUtmocpRxDdOd","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:10 PM","Question 1: No response given","","{""callId"":""da433dff-5445-4dae-8597-32106c3c5979"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:10.994Z""}"
"65ALUc2SwI-36dH1LEFyk","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:04 PM","Question 1: No response given","","{""callId"":""fc797450-d4d3-4fd0-8eb5-ca0556a51802"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:04.291Z""}"
"CRa1uuAur4fiWYhA-s8DQ","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""865ff73d-8e82-4720-8896-ad33601c4fc9"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.888Z""}"
"aesqGJfvQLbD4IaC2H4tS","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""5b18e14f-22c3-4157-8b73-caa793d5111c"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.860Z""}"
"KdGL5CUoZBA2sSfTalFN3","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""5d084086-3fb4-48a9-a2ca-5b4a667d47bf"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.758Z""}"
"EzJJ42Nf0YlK5ZXj14y_1","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""90945c14-68c9-49b4-9a35-a6d58d21cc54"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.737Z""}"
"sS0IClFcT2r7PunVWedAW","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""17236614-ca2c-4d73-af17-8d442d877439"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.728Z""}"
"zMbSXo-1POf-Ix9qUVWow","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:54:00 PM","Question 1: No response given","","{""callId"":""3eea41ea-7442-4e7e-a79f-72f1231818d9"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:54:00.704Z""}"
"uddzY8zeKDaGEwqi68DYW","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:50:20 PM","Question 1: No response given","","{""callId"":""5b18e14f-22c3-4157-8b73-caa793d5111c"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:50:20.087Z""}"
"0gPDAL8zZ-MeKPS8SX9X8","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:50:15 PM","Question 1: No response given","","{""callId"":""5d084086-3fb4-48a9-a2ca-5b4a667d47bf"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:50:15.833Z""}"
"HslIasXxm9BJDmJUQDak1","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:50:15 PM","Question 1: No response given","","{""callId"":""865ff73d-8e82-4720-8896-ad33601c4fc9"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:50:15.766Z""}"
"VebHhPX1WghWeJDCRc5Or","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:50:15 PM","Question 1: No response given","","{""callId"":""90945c14-68c9-49b4-9a35-a6d58d21cc54"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:50:15.640Z""}"
"-SsnUQY3D8Fey0S-pakH-","qhVb7l0z3M","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:49:17 PM","Question 1: No response given","","{""callId"":""591efbce-7055-4420-a312-360f3802cc66"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:49:17.036Z""}"
"wpqb_kmB4p893zJSE05-C","qhVb7l0z3M","Unknown Survey","web","Anonymous","6/26/2025","6:41:43 PM","Question 1: kjhjkh","",""
"aZVmBzgj98X30iZPWWAfN","XPlfQszas_","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:31:26 PM","Question 1: No response given","","{""callId"":""a8e73ace-d540-4682-9ec0-c019192ae358"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""customer-did-not-answer"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:31:26.611Z""}"
"oukhViy0NuJGcsgpTzpqY","XPlfQszas_","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:28:02 PM","Question 1: No response given","","{""callId"":""a8e73ace-d540-4682-9ec0-c019192ae358"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""endedReason"":""call.in-progress.twilio-completed-call"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:28:02.653Z""}"
"LcleHkrN_RSzu7M6bzNbr","XPlfQszas_","Unknown Survey","voice-vapi","Anonymous","6/26/2025","6:26:48 PM","Question 1: Yes","","{""callId"":""28411a6d-5033-47ec-88f8-df1eef75c114"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about this test. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: Yeah.\nAssistant: Great. To start, could you please share your thoughts on the question test test? Test test?\nUser: Yes."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T22:26:48.234Z""}"
"C-QrNcLXHpxEQq_-sJSV7","XPlfQszas_","Unknown Survey","web","Anonymous","6/26/2025","6:19:15 PM","Question 1: kjhkjh","",""
"YmQI1TgHInaayaqRuABRo","Y8RpJtbwud","Unknown Survey","voice-vapi","Anonymous","6/26/2025","5:59:10 PM","Question 1: I'm a junior | Question 2: My major is, uh, chemistry","","{""callId"":""2424660f-30a3-49bd-8c39-9b92918c7429"",""originalAnswerCount"":2,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about Survey College. This should only take a few minutes of your time. You available to answer a few questions?\nUser: Sure.\nAssistant: Great. Uh, to start, what is your current year of study? Are you a freshman, sophomore, junior, senior, or graduate student?\nUser: I'm a junior.\nAssistant: Thanks for sharing that. Uh, what is your major?\nUser: My major is, uh, chemistry.\nAssistant: Chemistry. Excellent choice. How satisfied are you with the quality of teaching at Survey College?\nUser: Uh, not so much."",""provider"":""vapi"",""validatedAnswerCount"":2,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T21:59:10.437Z""}"
"B3oOm9o0y58H5rxggLWAo","Y8RpJtbwud","Unknown Survey","voice-vapi","Anonymous","6/26/2025","4:31:14 PM","Question 1: graduate student | Question 2: computer science | Question 3: I'm not very satisfied","","{""callId"":""97956226-93e0-41cc-9697-4f577aceaf1f"",""originalAnswerCount"":3,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about Survey College. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: I'm sorry. Who is this and why are you calling?\nAssistant: Understand your concern. I'm Bob conducting a quick survey. I on behalf of Survey College, and to gather feedback from, um, students about their experience, Uh, it's just a few questions. And your input would be very helpful. Would you like to participate?\nUser: Okay. Sure. You can ask.\nAssistant: Great. To start, what is your current year of study? Can choose from freshman, sophomore, junior, senior, or graduate student.\nUser: I'm a graduate student.\nAssistant: Thanks for sharing that. Is your major?\nUser: My major is computer science.\nAssistant: Got it. How satisfied are you with the quality of teaching at this college?\nUser: I'm not very satisfied.\nAssistant: Thank you for sharing your honest thoughts you for your response. That's the end of the survey. Have a great day. Goodbye."",""provider"":""vapi"",""validatedAnswerCount"":3,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T20:31:14.290Z""}"
"9peIxu0GzQAVKqWepJpKW","_iyJgN6geL","Unknown Survey","voice-vapi","Anonymous","6/26/2025","2:41:49 PM","Question 1: No response given","","{""callId"":""8f05b45b-74b7-4b98-9ec6-eff3c0664d44"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. Thank you for participating in our survey about test. This will only take a few minutes. Let's get started.\nUser: Okay.\nAssistant: Great. To start off, could you please tell me your name?"",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T18:41:49.706Z""}"
"Z5iSqB9JRSXs-ANs4G1Gj","_iyJgN6geL","Unknown Survey","web","Anonymous","6/26/2025","2:34:12 PM","Question 1: Legend ","",""
"1TlO2DoPwcEQuCNg-15ru","_lvsJKRnXm","Unknown Survey","voice-vapi","Anonymous","6/26/2025","2:17:33 PM","Question 1: I think Bob's great. I think he's, uh, the best person out there.","","{""callId"":""dd69587f-4bae-4b54-9b5e-f6ad78218f6c"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about Bob. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: Sure.\nAssistant: Great. To start, what is your overall opinion of Bob?\nUser: I think Bob's great. I think he's, uh, the best person out there.\nAssistant: Thank you for sharing that. Uh, I appreciate your positive feedback about Bob. Thank you for your response. That's the end of the survey. Have a great day.\nUser: Okay."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T18:17:33.387Z""}"
"q4A5YZCGKP6MtvTGhVSlE","_lvsJKRnXm","Unknown Survey","voice-vapi","Anonymous","6/26/2025","2:15:11 PM","Question 1: No response given","","{""callId"":""5aebebd0-df3c-42f9-b2c8-54ea92fd43f2"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""No transcript available"",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T18:15:11.761Z""}"
"FCACyuH56khrlBijo3BA7","LGZtnMBYyh","Unknown Survey","voice-vapi","Anonymous","6/26/2025","2:07:28 PM","Question 1: No response given","","{""callId"":""9ec3c14b-581b-4365-bd3c-813aa60d8066"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hi there. This is Alex from Tech Solutions customer support."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T18:07:28.782Z""}"
"l76cOCryo7yyHxMoJ1lF_","_lvsJKRnXm","Unknown Survey","voice-vapi","Anonymous","6/26/2025","2:06:47 PM","Question 1: No response given","","{""callId"":""b496552c-23fa-4da0-b273-f904a5ea6ea9"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hi there. This is Alex from Tech Solutions customer support. Can I help you today?"",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T18:06:47.370Z""}"
"iy6Q2rOfJ1-E-4qtTcE75","_lvsJKRnXm","Unknown Survey","voice-vapi","Anonymous","6/26/2025","1:56:33 PM","Question 1: Fucking hate them","","{""callId"":""df7f7abd-6661-4381-be59-1e2a875b2e11"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about Bob. This should only take a few minutes of your time. Are you available to answer a few questions?\nUser: Yes.\nAssistant: Great. To start, what is your overall opinion of Bob?\nUser: Fucking hate them.\nAssistant: Thank you for sharing your honest opinion. I appreciate your participation. Thank you for your response. That's the end of the survey. Have a great day.\nUser: Okay."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T17:56:33.610Z""}"
"0s7jlT4RwznmVP58UnK-_","survey-event-feedback","Event Feedback Survey","text","mike.johnson@business.org","6/26/2025","12:52:00 PM","How was the overall event experience?: Outstanding event, very well organized | Which session did you enjoy most?: The main keynote presentation | How was the venue?: Perfect venue and setup | Would you attend future events?: Definitely attending future events","",""
"3Vlmgk-uv4H5A0StB9Ohq","survey-employee-engagement","Employee Engagement Survey","voice-extracted","jessica.taylor@nonprofit.org","6/26/2025","12:45:00 PM","How engaged do you feel at work?: Somewhat engaged, 6 | What motivates you most?: Career growth | How is your work-life balance?: Okay, 6 | Suggestions for improvement?: More communication","CA0m1UlwtMQwOdcfwicmdOVmv3Su5xkCPC","{""extractedFrom"":""CA0m1UlwtMQwOdcfwicmdOVmv3Su5xkCPC.json"",""questionCount"":4,""extractedAnswers"":4,""duration"":47}"
"q08m6h3_4M8PJ3-o7iQK7","survey-market-research","Market Research Survey","voice-extracted","alex.jones@consulting.biz","6/26/2025","12:00:00 PM","Which brands do you prefer?: Premium brands | How often do you shop online?: Occasionally | What influences your buying decisions?: Quality over price | Price sensitivity rating: 5","CAq4vG7I9eDqQl5j5qiHZeP0neeBerCGw9","{""extractedFrom"":""CAq4vG7I9eDqQl5j5qiHZeP0neeBerCGw9.json"",""questionCount"":4,""extractedAnswers"":4,""duration"":122}"
"tFIM2PFfyYiHFhgl08Wqk","_lvsJKRnXm","Unknown Survey","voice-vapi","Anonymous","6/25/2025","10:39:35 PM","Question 1: Bob is pretty good. He's helped me a lot over the years, and I think, uh, he should be named as the president","","{""callId"":""d1d19f15-4a9a-46b9-b719-fb450d9751a3"",""originalAnswerCount"":1,""phoneNumber"":""+14375569983"",""transcript"":""Assistant: Hello. This is Bob calling to conduct a brief survey about Bob. This this should only take a few minutes of your time. Um, are you available to answer a few questions?\nUser: Okay. Sure.\nAssistant: Great. Thank you. Let's start with the first question. What is your overall opinion of Bob? Take your time to share your thoughts.\nUser: Bob is pretty good. He's helped me a lot over the years, and I think, uh, he should be named as the president.\nAssistant: I appreciate you sharing that positive perspective, and and your thoughts on Bob's helpfulness and potential leadership Thank you for your response. Uh, that's the end of the survey. Have a great day."",""provider"":""vapi"",""validatedAnswerCount"":1,""hasStructuredAnswers"":true,""timestamp"":""2025-06-26T02:39:35.485Z""}"
